onset(s),bar
0.416000000,1
2.703750000,2
4.745250000,3
6.778500000,4
9.046250000,5
11.498666667,6
14.516000000,7
16.889166667,8
18.974000000,9
21.148000000,10
24.095000000,11
26.512000000,12
28.914000000,13
31.124000000,14
33.421000000,15
35.400000000,16
37.322000000,17
39.548666667,18
41.930000000,19
43.892000000,20
45.721333333,21
47.801666667,22
49.838333333,23
52.441666667,24
54.621333333,25
56.646666667,26
60.052000000,27
64.887000000,28
69.658333333,29
77.100000000,30
81.722000000,31
86.928750000,32
95.362666667,33
100.968750000,34
104.808000000,35
110.135083333,36
117.711666667,37
118.700000000,38
119.774666667,39
120.619333333,40
121.846666667,41
122.811500000,42
123.787625000,43
124.749854167,44
125.807500000,45
126.801666667,46
127.813000000,47
128.816666667,48
130.043333333,49
131.066666667,50
132.000000000,51
133.013333333,52
134.165000000,53
135.182687500,54
136.146000000,55
137.191000000,56
138.175000000,57
139.163000000,58
140.169166667,59
141.101333333,60
142.394666667,61
143.396000000,62
144.497333333,63
145.444000000,64
146.530666667,65
147.501333333,66
148.503291667,67
149.603333333,68
150.610000000,69
151.616000000,70
152.596000000,71
153.628000000,72
154.665458333,73
155.756000000,74
156.900000000,75
157.952000000,76
159.056666667,77
160.116666667,78
161.247000000,79
162.246000000,80
163.234000000,81
164.386000000,82
165.433000000,83
166.487000000,84
167.475000000,85
168.503333333,86
169.534000000,87
170.813000000,88
